"","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","trialtype","node","cesm","node2","node3","noSelect","Actual"
"55","1","00","0","0","0","1","0",0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,"1","d5","B",-0.164500135543697,"B","B=0",1,FALSE
"56","1","00","0","0","0","1","0",0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,"1","d5","Bu=0",-0.218893605130987,"Bu","Bu=0",1,FALSE
"57","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,"1","d4","A",-0.117753078876938,"A","A=1",1,FALSE
"58","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,"1","d4","Au=0",0.458994989590159,"Au","Au=0",1,TRUE
"59","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,"1","d4","B",0.710723461078484,"B","B=0",1,TRUE
"60","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,"1","d4","Bu=1",-0.166235380380983,"Bu","Bu=1",1,FALSE
"61","1","01","0","0","1","1","0",0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,"1","d5","A",0.116387038447897,"A","A=1",1,TRUE
"62","1","01","0","0","1","1","0",0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,"1","d5","Au=0",-0.455003610228553,"Au","Au=0",1,FALSE
"63","1","01","0","0","1","1","0",0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,"1","d5","B",-0.712900313200885,"B","B=0",1,FALSE
"64","1","01","0","0","1","1","0",0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,"1","d5","Bu=1",0.168321074228117,"Bu","Bu=1",1,TRUE
"65","1","10","1","0","0","0","1",0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,"1","d4","A",-0.755728234267497,"A","A=1",1,FALSE
"66","1","10","1","0","0","0","1",0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,"1","d4","Au=1",-0.522409579938592,"Au","Au=1",1,FALSE
"67","1","10","1","0","0","0","1",0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,"1","d4","B",0.0523493791241952,"B","B=0",1,TRUE
"68","1","10","1","0","0","0","1",0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,"1","d4","Bu=0",0.0665838030641407,"Bu","Bu=0",1,TRUE
"69","1","10","1","0","0","1","1",0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,"1","d5","A",0.754565556984801,"A","A=1",1,TRUE
"70","1","10","1","0","0","1","1",0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,"1","d5","Au=1",0.521615351299232,"Au","Au=1",1,TRUE
"71","1","10","1","0","0","1","1",0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,"1","d5","B",-0.0518093248472086,"B","B=0",1,FALSE
"72","1","10","1","0","0","1","1",0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,"1","d5","Bu=0",-0.0686643975558355,"Bu","Bu=0",1,FALSE
"73","1","11","1","0","1","0","1",0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,"1","d4","A",-0.654874393483219,"A","A=1",1,FALSE
"74","1","11","1","0","1","0","1",0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,"1","d4","Au=1",-0.452290051447733,"Au","Au=1",1,FALSE
"75","1","11","1","0","1","0","1",0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,"1","d4","B",0.300380662831539,"B","B=0",1,TRUE
"76","1","11","1","0","1","0","1",0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,"1","d4","Bu=1",-0.0718257371718888,"Bu","Bu=1",1,FALSE
"77","1","11","1","0","1","1","1",0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,"1","d5","A",0.654507449154734,"A","A=1",1,TRUE
"78","1","11","1","0","1","1","1",0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,"1","d5","Au=1",0.451242518432209,"Au","Au=1",1,TRUE
"79","1","11","1","0","1","1","1",0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,"1","d5","B",-0.300990252296827,"B","B=0",1,FALSE
"80","1","11","1","0","1","1","1",0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,"1","d5","Bu=1",0.0705851904726336,"Bu","Bu=1",1,TRUE
"81","1","00","0","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,"1","d6","A",-0.133858999830891,"A","A=1",1,FALSE
"82","1","00","0","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,"1","d6","Au=0",0.528596101343894,"Au","Au=0",1,TRUE
"83","1","00","0","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,"1","d6","B",-0.0751147349458994,"B","B=1",1,FALSE
"84","1","00","0","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,"1","d6","Bu=0",0.704970939378135,"Bu","Bu=0",1,TRUE
"85","1","00","0","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,"1","d7","A",0.135342725981068,"A","A=1",1,TRUE
"86","1","00","0","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,"1","d7","Au=0",-0.52849356432349,"Au","Au=0",1,FALSE
"87","1","00","0","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,"1","d7","B",0.0747876321541773,"B","B=1",1,TRUE
"88","1","00","0","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,"1","d7","Bu=0",-0.705021185047079,"Bu","Bu=0",1,FALSE
"89","1","01","0","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,"1","d6","A",-0.0345013291935347,"A","A=1",1,FALSE
"90","1","01","0","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,"1","d6","Au=0",0.136711495032189,"Au","Au=0",1,TRUE
"91","1","01","0","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,"1","d6","B",-0.469753252056487,"B","B=1",1,FALSE
"92","1","01","0","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,"1","d6","Bu=1",-0.779768987813569,"Bu","Bu=1",1,FALSE
"93","1","01","0","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,"1","d7","A",0.033985956902214,"A","A=1",1,TRUE
"94","1","01","0","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,"1","d7","Au=0",-0.136346038532426,"Au","Au=0",1,FALSE
"95","1","01","0","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,"1","d7","B",0.470295342870476,"B","B=1",1,TRUE
"96","1","01","0","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,"1","d7","Bu=1",0.778176719914435,"Bu","Bu=1",1,TRUE
"97","1","10","1","1","0","0","1",0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,"1","d6","A",-0.691549525329079,"A","A=1",1,FALSE
"98","1","10","1","1","0","0","1",0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,"1","d6","Au=1",-0.476578386468621,"Au","Au=1",1,FALSE
"99","1","10","1","1","0","0","1",0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,"1","d6","B",-0.0299343926807807,"B","B=1",1,FALSE
"100","1","10","1","1","0","0","1",0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,"1","d6","Bu=0",0.272478789959427,"Bu","Bu=0",1,TRUE
"101","1","10","1","1","0","1","1",0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,"1","d7","A",0.691565096045171,"A","A=1",1,TRUE
"102","1","10","1","1","0","1","1",0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,"1","d7","Au=1",0.477065390376797,"Au","Au=1",1,TRUE
"103","1","10","1","1","0","1","1",0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,"1","d7","B",0.0293976783978591,"B","B=1",1,TRUE
"104","1","10","1","1","0","1","1",0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,"1","d7","Bu=0",-0.270963429317039,"Bu","Bu=0",1,FALSE
"105","1","11","1","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,"1","d6","A",-0.285065939895786,"A","A=1",1,FALSE
"106","1","11","1","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,"1","d6","Au=1",-0.198222023391939,"Au","Au=1",1,FALSE
