"","pgroup","trialtype","node3","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","node","cesm","node2","Actual","cesmActual","post","prior","ig","Act1","noSelect","full","noAct"
"37","1","c3","Au=0","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,"Au=0",0.149865996945695,"Au",TRUE,0.149865996945695,0.5,0.5,0,0.5,0.5,0.0749329984728477,0.0749329984728477
"38","1","c3","Au=0","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,"Au=0",0.359754714237101,"Au",TRUE,0.359754714237101,0.5,0.5,0,0.5,0.5,0.179877357118551,0.179877357118551
"39","1","c3","Au=1","1","10","1","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,11,"conjunctive",0.25,3,"Au=1",-0.0635375972872484,"Au",FALSE,0,0.5,0.5,0,0.5,0,0,-0.0317687986436242
"40","1","c3","Au=1","1","11","1","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,12,"conjunctive",0.25,3,"Au=1",-0.160485303505183,"Au",FALSE,0,0.5,0.5,0,0.5,0,0,-0.0802426517525917
"41","1","c3","B=0","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,"B",0.112036748287811,"B",TRUE,0.112036748287811,0,0,0,1,1,0.0280091870719528,0.0280091870719528
"42","1","c3","B=0","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,"B",0.268825671835054,"B",TRUE,0.268825671835054,0,0,0,1,1,0.0672064179587636,0.0672064179587636
"43","1","c3","B=0","1","10","1","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,11,"conjunctive",0.25,3,"B",0.26959958642421,"B",TRUE,0.26959958642421,0,0,0,1,1,0.0673998966060525,0.0673998966060525
"44","1","c3","B=0","1","11","1","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,12,"conjunctive",0.25,3,"B",0.678454050315623,"B",TRUE,0.678454050315623,0,0,0,1,1,0.169613512578906,0.169613512578906
"45","1","c3","Bu=0","1","00","0","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,"Bu=0",0.149593024163615,"Bu",TRUE,0.149593024163615,0.5,0.5,0,0.5,0.5,0.0747965120818076,0.0747965120818076
"46","1","c3","Bu=0","1","10","1","0","0","0","0",0.1,0.5,0.2,0.5,0.005,0.25,11,"conjunctive",0.25,3,"Bu=0",0.360837002006557,"Bu",TRUE,0.360837002006557,0.5,0.5,0,0.5,0.5,0.180418501003278,0.180418501003278
"47","1","c3","Bu=1","1","01","0","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,"Bu=1",-0.0635822560259165,"Bu",FALSE,0,0.5,0.5,0,0.5,0,0,-0.0317911280129582
"48","1","c3","Bu=1","1","11","1","0","1","0","0",0.1,0.5,0.2,0.5,0.005,0.25,12,"conjunctive",0.25,3,"Bu=1",-0.160116486209126,"Bu",FALSE,0,0.5,0.5,0,0.5,0,0,-0.0800582431045628
"49","1","c4","A=1","1","00","0","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,13,"conjunctive",0.333333333333333,4,"A",-0.0766711677278618,"A",FALSE,0,0,0,0,0,0,0,-0.0255570559092873
"50","1","c4","A=1","1","10","1","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,17,"conjunctive",0.333333333333333,4,"A",-0.18755011931989,"A",FALSE,0,0,0,0,0,0,0,-0.0625167064399632
"51","1","c4","A=1","1","01","0","1","1","0","0",0.1,0.5,0.8,0.5,0.02,0.25,15,"conjunctive",0.333333333333333,4,"A",-0.18787396762471,"A",FALSE,0,0,0,0,0,0,0,-0.0626246558749033
"52","1","c4","A=1","1","11","1","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,19,"conjunctive",0,4,"A",-0.602226963250444,"A",FALSE,0,0,0,0,0,0,0,0
"53","1","c4","Au=0","1","00","0","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,13,"conjunctive",0.333333333333333,4,"Au=0",0.299363352763462,"Au",TRUE,0.299363352763462,0.666666666666667,0.5,0.11,0.666666666666667,0.666666666666667,0.199575568508975,0.199575568508975
"54","1","c4","Au=0","1","01","0","1","1","0","0",0.1,0.5,0.8,0.5,0.02,0.25,15,"conjunctive",0.333333333333333,4,"Au=0",0.735769429496297,"Au",TRUE,0.735769429496297,0.666666666666667,0.5,0.11,0.666666666666667,0.666666666666667,0.490512952997532,0.490512952997532
"55","1","c4","Au=1","1","11","1","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,19,"conjunctive",0,4,"Au=1",-0.416775202739952,"Au",FALSE,0,0.333333333333333,0.5,-0.028,0.333333333333333,0,0,-0.138925067579984
"56","1","c4","Au=1","1","10","1","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,17,"conjunctive",0.333333333333333,4,"Au=1",-0.129596840718844,"Au",FALSE,0,0.333333333333333,0.5,-0.028,0.333333333333333,0,0,-0.0431989469062812
"57","1","c4","B=1","1","00","0","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,13,"conjunctive",0.333333333333333,4,"B",-0.0318680632792916,"B",FALSE,0,0,0,0,0,0,0,-0.0106226877597639
"58","1","c4","B=1","1","01","0","1","1","0","0",0.1,0.5,0.8,0.5,0.02,0.25,15,"conjunctive",0.333333333333333,4,"B",-0.0780314000015248,"B",FALSE,0,0,0,0,0,0,0,-0.0260104666671749
"59","1","c4","B=1","1","10","1","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,17,"conjunctive",0.333333333333333,4,"B",-0.077900247864801,"B",FALSE,0,0,0,0,0,0,0,-0.025966749288267
"60","1","c4","B=1","1","11","1","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,19,"conjunctive",0,4,"B",-0.250667193630116,"B",FALSE,0,0,0,0,0,0,0,0
"61","1","c4","Bu=0","1","00","0","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,13,"conjunctive",0.333333333333333,4,"Bu=0",0.300062580938944,"Bu",TRUE,0.300062580938944,0.666666666666667,0.5,0.11,0.666666666666667,0.666666666666667,0.200041720625963,0.200041720625963
"62","1","c4","Bu=0","1","10","1","1","0","0","0",0.1,0.5,0.8,0.5,0.02,0.25,17,"conjunctive",0.333333333333333,4,"Bu=0",0.735568123627948,"Bu",TRUE,0.735568123627948,0.666666666666667,0.5,0.11,0.666666666666667,0.666666666666667,0.490378749085299,0.490378749085299
"63","1","c4","Bu=1","1","01","0","1","1","0","0",0.1,0.5,0.8,0.5,0.02,0.25,15,"conjunctive",0.333333333333333,4,"Bu=1",-0.130161372262152,"Bu",FALSE,0,0.333333333333333,0.5,-0.028,0.333333333333333,0,0,-0.0433871240873841
"64","1","c4","Bu=1","1","11","1","1","1","0","1",0.1,0.5,0.8,0.5,0.02,0.25,19,"conjunctive",0,4,"Bu=1",-0.417421087065125,"Bu",FALSE,0,0.333333333333333,0.5,-0.028,0.333333333333333,0,0,-0.139140362355042
"65","1","c5","A=1","1","10","1","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,18,"conjunctive",0,5,"A",0.188746109596678,"A",TRUE,0.188746109596678,0,0,0,1,1,0,0
"66","1","c5","A=1","1","00","0","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,14,"conjunctive",0,5,"A",0.0758711917202182,"A",TRUE,0.0758711917202182,0,0,0,1,1,0,0
"67","1","c5","A=1","1","11","1","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,20,"conjunctive",1,5,"A",0.602074907726985,"A",TRUE,0.602074907726985,0,0,0,1,1,0.602074907726985,0.602074907726985
"68","1","c5","A=1","1","01","0","1","1","1","0",0.1,0.5,0.8,0.5,0.02,0.25,16,"conjunctive",0,5,"A",0.188253569295369,"A",TRUE,0.188253569295369,0,0,0,1,1,0,0
"69","1","c5","Au=0","1","00","0","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,14,"conjunctive",0,5,"Au=0",-0.297043357332842,"Au",FALSE,0,0,0.5,0.5,0,0,0,0
"70","1","c5","Au=0","1","01","0","1","1","1","0",0.1,0.5,0.8,0.5,0.02,0.25,16,"conjunctive",0,5,"Au=0",-0.736949165521414,"Au",FALSE,0,0,0.5,0.5,0,0,0,0
"71","1","c5","Au=1","1","10","1","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,18,"conjunctive",0,5,"Au=1",0.130202016549453,"Au",TRUE,0.130202016549453,1,0.5,0.5,1,1,0.130202016549453,0.130202016549453
"72","1","c5","Au=1","1","11","1","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,20,"conjunctive",1,5,"Au=1",0.416229647199041,"Au",TRUE,0.416229647199041,1,0.5,0.5,1,1,0.416229647199041,0.416229647199041
"73","1","c5","B=1","1","11","1","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,20,"conjunctive",1,5,"B",0.251042929223674,"B",TRUE,0.251042929223674,0,0,0,1,1,0.251042929223674,0.251042929223674
"74","1","c5","B=1","1","00","0","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,14,"conjunctive",0,5,"B",0.0314905215830523,"B",TRUE,0.0314905215830523,0,0,0,1,1,0,0
"75","1","c5","B=1","1","01","0","1","1","1","0",0.1,0.5,0.8,0.5,0.02,0.25,16,"conjunctive",0,5,"B",0.0781915237519949,"B",TRUE,0.0781915237519949,0,0,0,1,1,0,0
"76","1","c5","B=1","1","10","1","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,18,"conjunctive",0,5,"B",0.0784256143257295,"B",TRUE,0.0784256143257295,0,0,0,1,1,0,0
"77","1","c5","Bu=0","1","00","0","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,14,"conjunctive",0,5,"Bu=0",-0.297101485332151,"Bu",FALSE,0,0,0.5,0.5,0,0,0,0
"78","1","c5","Bu=0","1","10","1","1","0","1","0",0.1,0.5,0.8,0.5,0.02,0.25,18,"conjunctive",0,5,"Bu=0",-0.736571984246927,"Bu",FALSE,0,0,0.5,0.5,0,0,0,0
"79","1","c5","Bu=1","1","01","0","1","1","1","0",0.1,0.5,0.8,0.5,0.02,0.25,16,"conjunctive",0,5,"Bu=1",0.129380156528315,"Bu",TRUE,0.129380156528315,1,0.5,0.5,1,1,0.129380156528315,0.129380156528315
"80","1","c5","Bu=1","1","11","1","1","1","1","1",0.1,0.5,0.8,0.5,0.02,0.25,20,"conjunctive",1,5,"Bu=1",0.417080830125649,"Bu",TRUE,0.417080830125649,1,0.5,0.5,1,1,0.417080830125649,0.417080830125649
"81","1","d1","A=0","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"A",0.125560625740942,"A",TRUE,0.125560625740942,0,0,0,1,1,0.0313901564352354,0.0313901564352354
"82","1","d1","A=0","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"A",0.0514015923343844,"A",TRUE,0.0514015923343844,0,0,0,1,1,0.0128503980835961,0.0128503980835961
"83","1","d1","A=0","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"A",0.585836734226141,"A",TRUE,0.585836734226141,0,0,0,1,1,0.146459183556535,0.146459183556535
"84","1","d1","A=0","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,"A",0.277255619969956,"A",TRUE,0.277255619969956,0,0,0,1,1,0.0693139049924891,0.0693139049924891
"85","1","d1","Au=0","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,"Au=0",0.0522092394914649,"Au",TRUE,0.0522092394914649,0.5,0.5,0,0.5,0.5,0.0261046197457325,0.0261046197457325
"86","1","d1","Au=0","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,"Au=0",0.0210312345265695,"Au",TRUE,0.0210312345265695,0.5,0.5,0,0.5,0.5,0.0105156172632848,0.0105156172632848
"87","1","d1","Au=1","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,"Au=1",-0.0420069330271872,"Au",FALSE,0,0.5,0.5,0,0.5,0,0,-0.0210034665135936
