"","X","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","trialtype","node","cesm","node2","node3"
"149",38,1,"01",0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,"1","c3","A",0.0462149666914165,"A","A=1"
"150",38,1,"01",0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,"1","c3","Au=0",0.179492211694833,"Au","Au=0"
"151",38,1,"01",0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,"1","c3","B",0.133868109945436,"B","B=0"
"152",38,1,"01",0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,"1","c3","Bu=1",0.0318556170367285,"Bu","Bu=1"
"153",39,1,"10",1,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,11,"conjunctive",0.25,3,"1","c3","A",0.0461886864908751,"A","A=1"
"154",39,1,"10",1,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,11,"conjunctive",0.25,3,"1","c3","Au=1",0.0316617457294357,"Au","Au=1"
"155",39,1,"10",1,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,11,"conjunctive",0.25,3,"1","c3","B",0.134692587980888,"B","B=0"
"156",39,1,"10",1,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,11,"conjunctive",0.25,3,"1","c3","Bu=0",0.17855984121814,"Bu","Bu=0"
"157",40,1,"11",1,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,12,"conjunctive",0.25,3,"1","c3","A",0.115486374141948,"A","A=1"
"158",40,1,"11",1,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,12,"conjunctive",0.25,3,"1","c3","Au=1",0.0798314800395434,"Au","Au=1"
"159",40,1,"11",1,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,12,"conjunctive",0.25,3,"1","c3","B",0.338847823447363,"B","B=0"
"160",40,1,"11",1,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,12,"conjunctive",0.25,3,"1","c3","Bu=1",0.0801895826077618,"Bu","Bu=1"
