"","A","B","Au","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","mA","mAu","mB","mBu","cfsA","cfaAu","cfsB","cfsBu","Sum","run"
"47",1,1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,19,"conjunctive",0,4,1,-0.604919585914648,-0.41831077886224,-0.249705511024343,-0.415166569422687,27047,15059,5942,14867,50327,1
"48",1,1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,20,"conjunctive",1,5,1,0.603541431583201,0.415500469475225,0.249448163400184,0.416780550240129,26913,14859,5918,14937,49729,1
"49",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,1,0.118526217249963,0.0474266516952774,0.326530467676578,0.434071266854645,3064,14792,23976,15022,95998,2
"50",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,1,0.0536168845712911,0.0183403731782527,0.892389813476683,-0.207865330679855,3033,14959,23859,14856,79310,2
"51",0,0,1,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,1,0.0556424978534126,-0.0259544339973725,0.100678899405426,0.950432879958799,3002,85058,94014,15110,85389,2
"52",0,0,1,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,1,0.00813338238757797,-0.0116950477957319,0.504580975227717,-0.834868115882592,3040,84791,93985,14919,19961,2
"53",0,1,0,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,1,0.587301329928667,0.0424268250732557,-0.261259436271779,0.348334414512187,2974,84800,75934,14907,93994,2
"54",0,1,0,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,1,-0.588797295565003,-0.0442996080442518,0.259121703179065,-0.346018859823019,3084,84901,75865,15039,6080,2
"55",0,1,0,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,1,0.273579249815092,0.0153064870747305,-0.852318705342002,-0.197550644902718,2961,85063,76367,14865,77843,2
"56",0,1,0,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,1,-0.281921294817871,-0.0221925295181931,0.849733630107565,0.196898703610427,3064,84958,76150,14864,22368,2
