"","pg_tt","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual","baseline"
"82","1_d6","1","d6","A=1",4,0.0625,NA,0,0.134796409706143,0,0,0.286827503867551,0,0,0,FALSE,0.125
"83","1_d6","1","d6","Au=0",14,0.21875,0.5,0.527876781812946,0.527876781812946,0.165908652939876,1,0.165908652939876,1,0.5,0.5,TRUE,0.125
"84","1_d6","1","d6","Au=1",1,0.015625,0.5,0,0,0,0,0.168534063155378,0,0,0.5,FALSE,0.125
"85","1_d6","1","d6","B=0",4,0.0625,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"86","1_d6","1","d6","B=1",6,0.09375,NA,0,0.0748983290325624,0,0,0.215353887370421,0,0,0,FALSE,0.125
"87","1_d6","1","d6","Bu=0",33,0.515625,0.5,0.705717985566714,0.705717985566714,0.244543391317957,1,0.244543391317957,1,0.5,0.5,TRUE,0.125
"88","1_d6","1","d6","Bu=1",0,0,0.5,0,0,0,0,0.314876475840891,0,0,0.5,FALSE,0.125
"89","1_d7","1","d7","A=0",2,0.0294117647058824,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"90","1_d7","1","d7","A=1",10,0.147058823529412,NA,0.337508609846687,0.337508609846687,0.28686102354944,1,0.28686102354944,1,1,1,TRUE,0.125
"91","1_d7","1","d7","Au=0",1,0.0147058823529412,0.167,0,0.0456733836753701,0,0,0.166578777326792,0.333333333333333,0,0.5,FALSE,0.125
"92","1_d7","1","d7","Au=1",15,0.220588235294118,0.167,0.22539560242398,0.22539560242398,0.169046701817986,0.666666666666666,0.169046701817986,0.666666666666666,0.5,0.5,TRUE,0.125
"93","1_d7","1","d7","B=0",1,0.0147058823529412,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"94","1_d7","1","d7","B=1",11,0.161764705882353,NA,0.261836498052595,0.261836498052595,0.215038568098321,1,0.215038568098321,1,1,1,TRUE,0.125
"95","1_d7","1","d7","Bu=0",2,0.0294117647058824,0.167,0,0.0902585589858406,0,0,0.243750092875086,0.333333333333333,0,0.5,FALSE,0.125
"96","1_d7","1","d7","Bu=1",26,0.382352941176471,0.167,0.420751133727092,0.420751133727092,0.315563350295319,0.666666666666666,0.315563350295319,0.666666666666666,0.5,0.5,TRUE,0.125
"97","2_c1","2","c1","A=0",16,0.231884057971014,NA,0.076085396542812,0.076085396542812,0.076085396542812,1,0.076085396542812,1,1,1,TRUE,0.125
"98","2_c1","2","c1","A=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"99","2_c1","2","c1","Au=0",8,0.115942028985507,0,0.115878631781586,0.115878631781586,0.115878631781586,0.9,0.115878631781586,0.9,0.9,0.9,TRUE,0.125
"100","2_c1","2","c1","Au=1",4,0.0579710144927536,0,0,0.00686994434522686,0,0,0.00686994434522686,0.1,0,0.1,FALSE,0.125
"101","2_c1","2","c1","B=0",25,0.36231884057971,NA,0.076015256451447,0.076015256451447,0.076015256451447,1,0.076015256451447,1,1,1,TRUE,0.125
"102","2_c1","2","c1","B=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"103","2_c1","2","c1","Bu=0",8,0.115942028985507,0,0.00671198972773897,0.00671198972773897,0.00671198972773897,0.2,0.00671198972773897,0.2,0.2,0.2,TRUE,0.125
"104","2_c1","2","c1","Bu=1",8,0.115942028985507,0,0,0.00726808809725277,0,0,0.00726808809725277,0.8,0,0.8,FALSE,0.125
"105","2_c2","2","c2","A=0",37,0.486842105263158,NA,0.180938213390437,0.180938213390437,0.180938213390437,1,0.180938213390437,1,1,1,TRUE,0.125
"106","2_c2","2","c2","A=1",4,0.0526315789473684,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"107","2_c2","2","c2","Au=0",6,0.0789473684210526,0,0.274068411943203,0.274068411943203,0.274068411943203,0.9,0.274068411943203,0.9,0.9,0.9,TRUE,0.125
"108","2_c2","2","c2","Au=1",7,0.0921052631578947,0,0,0.0169323375036813,0,0,0.0169323375036813,0.1,0,0.1,FALSE,0.125
"109","2_c2","2","c2","B=0",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"110","2_c2","2","c2","B=1",7,0.0921052631578947,NA,0,0.0321084745745637,0,0,0.0321084745745637,0,0,0,FALSE,0.125
"111","2_c2","2","c2","Bu=0",10,0.131578947368421,0,0.0150808809354403,0.0150808809354403,0.0150808809354403,0.2,0.0150808809354403,0.2,0.2,0.2,TRUE,0.125
"112","2_c2","2","c2","Bu=1",5,0.0657894736842105,0,0,0.0172269137800612,0,0,0.0172269137800612,0.8,0,0.8,FALSE,0.125
"113","2_c3","2","c3","A=0",1,0.0133333333333333,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"114","2_c3","2","c3","A=1",7,0.0933333333333333,NA,0,0.0323300436952012,0,0,0.0323300436952012,0,0,0,FALSE,0.125
"115","2_c3","2","c3","Au=0",19,0.253333333333333,0,0.275993235740617,0.275993235740617,0.275993235740617,0.9,0.275993235740617,0.9,0.9,0.9,TRUE,0.125
"116","2_c3","2","c3","Au=1",3,0.04,0,0,0.0168827694173207,0,0,0.0168827694173207,0.1,0,0.1,FALSE,0.125
"117","2_c3","2","c3","B=0",33,0.44,NA,0.182355575493479,0.182355575493479,0.182355575493479,1,0.182355575493479,1,1,1,TRUE,0.125
"118","2_c3","2","c3","B=1",2,0.0266666666666667,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"119","2_c3","2","c3","Bu=0",3,0.04,0,0.0149309052855058,0.0149309052855058,0.0149309052855058,0.2,0.0149309052855058,0.2,0.2,0.2,TRUE,0.125
"120","2_c3","2","c3","Bu=1",7,0.0933333333333333,0,0,0.0173622817289625,0,0,0.0173622817289625,0.8,0,0.8,FALSE,0.125
"121","2_c4","2","c4","A=0",2,0.0303030303030303,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"122","2_c4","2","c4","A=1",8,0.121212121212121,NA,0,0.0571946676701197,0,0,0.0860117703674057,0,0,0,FALSE,0.125
"123","2_c4","2","c4","Au=0",32,0.484848484848485,0.078,0.723915174087123,0.723915174087123,0.666001960160153,0.978260869565217,0.666001960160153,0.978260869565217,0.9,0.9,TRUE,0.125
"124","2_c4","2","c4","Au=1",2,0.0303030303030303,0.078,0,0.00502302047935704,0,0,0.0527719480127091,0.0217391304347826,0,0.1,FALSE,0.125
"125","2_c4","2","c4","B=0",1,0.0151515151515152,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"126","2_c4","2","c4","B=1",4,0.0606060606060606,NA,0,0.0570307330279797,0,0,0.0858433031430237,0,0,0,FALSE,0.125
"127","2_c4","2","c4","Bu=0",11,0.166666666666667,0.017,0.0398162188517335,0.0398162188517335,0.0366309213435949,0.217391304347826,0.0366309213435949,0.217391304347826,0.2,0.2,TRUE,0.125
"128","2_c4","2","c4","Bu=1",6,0.0909090909090909,0.017,0,0.0285568813639302,0,0,0.0464258568067462,0.782608695652174,0,0.8,FALSE,0.125
"129","2_c5","2","c5","A=0",1,0.0119047619047619,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"130","2_c5","2","c5","A=1",8,0.0952380952380952,NA,0.416983733501912,0.416983733501912,0.0850865527422362,1,0.0850865527422362,1,1,1,TRUE,0.125
"131","2_c5","2","c5","Au=0",2,0.0238095238095238,0.9,0,0,0,0,0.663759135052016,0,0,0.9,FALSE,0.125
"132","2_c5","2","c5","Au=1",29,0.345238095238095,0.9,0.603950415575058,0.603950415575058,0.0529746120250498,1,0.0529746120250498,1,0.1,0.1,TRUE,0.125
"133","2_c5","2","c5","B=0",1,0.0119047619047619,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"134","2_c5","2","c5","B=1",13,0.154761904761905,NA,0.415931327730958,0.415931327730958,0.0860018802267944,1,0.0860018802267944,1,1,1,TRUE,0.125
"135","2_c5","2","c5","Bu=0",1,0.0119047619047619,0.2,0,0,0,0,0.0362802957856206,0,0,0.2,FALSE,0.125
"136","2_c5","2","c5","Bu=1",29,0.345238095238095,0.2,0.250746682797514,0.250746682797514,0.0461255197957705,1,0.0461255197957705,1,0.8,0.8,TRUE,0.125
"137","2_d1","2","d1","A=0",9,0.140625,NA,0.084904353695361,0.084904353695361,0.084904353695361,1,0.084904353695361,1,1,1,TRUE,0.125
"138","2_d1","2","d1","A=1",3,0.046875,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
