"","trial_id","pgroup","full","prop","trial_structure_type","Variable","Actual"
"27","2_d7","A=.5,Au=.1,B=.5,Bu=.8",0.068641407032179,0.0416666666666667,"Disjunctive: A=1,B=1,E=1","A","FALSE"
"28","2_d7","A=.5,Au=.1,B=.5,Bu=.8",0.0748184665396626,0.138888888888889,"Disjunctive: A=1,B=1,E=1","A","TRUE"
"29","2_d7","A=.5,Au=.1,B=.5,Bu=.8",0.0235215416473721,0.0138888888888889,"Disjunctive: A=1,B=1,E=1","B",NA
"30","2_d7","A=.5,Au=.1,B=.5,Bu=.8",0.454905615945055,0.194444444444444,"Disjunctive: A=1,B=1,E=1","B","TRUE"
"31","2_d7","A=.5,Au=.1,B=.5,Bu=.8",0.0714501071746859,0.0138888888888889,"Disjunctive: A=1,B=1,E=1","B","FALSE"
"32","2_d7","A=.5,Au=.1,B=.5,Bu=.8",0.210058645439495,0.486111111111111,"Disjunctive: A=1,B=1,E=1","B","TRUE"
"33","3_c5","A=.1,Au=.7,B=.8,Bu=.5",0.0235215416473721,0,"Conjunctive: A=1,B=1,E=1","A",NA
"34","3_c5","A=.1,Au=.7,B=.8,Bu=.5",0.312226281163931,0.148648648648649,"Conjunctive: A=1,B=1,E=1","A","TRUE"
"35","3_c5","A=.1,Au=.7,B=.8,Bu=.5",0.0724384879714931,0.0135135135135135,"Conjunctive: A=1,B=1,E=1","A","FALSE"
"36","3_c5","A=.1,Au=.7,B=.8,Bu=.5",0.153704643215417,0.297297297297297,"Conjunctive: A=1,B=1,E=1","A","TRUE"
"37","3_c5","A=.1,Au=.7,B=.8,Bu=.5",0.0235215416473721,0.0135135135135135,"Conjunctive: A=1,B=1,E=1","B",NA
"38","3_c5","A=.1,Au=.7,B=.8,Bu=.5",0.118636707846585,0.162162162162162,"Conjunctive: A=1,B=1,E=1","B","TRUE"
"39","3_c5","A=.1,Au=.7,B=.8,Bu=.5",0.0764293661108479,0.027027027027027,"Conjunctive: A=1,B=1,E=1","B","FALSE"
"40","3_c5","A=.1,Au=.7,B=.8,Bu=.5",0.219521430396982,0.337837837837838,"Conjunctive: A=1,B=1,E=1","B","TRUE"
"41","3_d7","A=.1,Au=.7,B=.8,Bu=.5",0.0235215416473721,0.0133333333333333,"Disjunctive: A=1,B=1,E=1","A",NA
"42","3_d7","A=.1,Au=.7,B=.8,Bu=.5",0.273632025586813,0.293333333333333,"Disjunctive: A=1,B=1,E=1","A","TRUE"
"43","3_d7","A=.1,Au=.7,B=.8,Bu=.5",0.0920297681143111,0,"Disjunctive: A=1,B=1,E=1","A","FALSE"
"44","3_d7","A=.1,Au=.7,B=.8,Bu=.5",0.158952376903593,0.266666666666667,"Disjunctive: A=1,B=1,E=1","A","TRUE"
"45","3_d7","A=.1,Au=.7,B=.8,Bu=.5",0.0235215416473721,0,"Disjunctive: A=1,B=1,E=1","B",NA
"46","3_d7","A=.1,Au=.7,B=.8,Bu=.5",0.141756948855718,0.12,"Disjunctive: A=1,B=1,E=1","B","TRUE"
"47","3_d7","A=.1,Au=.7,B=.8,Bu=.5",0.0910694371475098,0.0533333333333333,"Disjunctive: A=1,B=1,E=1","B","FALSE"
"48","3_d7","A=.1,Au=.7,B=.8,Bu=.5",0.19551636009731,0.253333333333333,"Disjunctive: A=1,B=1,E=1","B","TRUE"
